subject,trial_id,gain,loss,trial_pay,stage_pay,win_plan_take_final_take,win_plan_take_final_reject,win_plan_reject_final_take,win_plan_reject_final_reject,lose_plan_take_final_take,lose_plan_take_final_reject,lose_plan_reject_final_take,lose_plan_reject_final_reject
80,2,200,-200,-100,200,1,0,0,0,0,0,0,0
80,3,160,-140,400,-140,0,0,0,0,0,0,1,0
80,4,120,-100,20,120,1,0,0,0,0,0,0,0
80,5,180,-200,20,180,1,0,0,0,0,0,0,0
80,6,200,-120,360,200,1,0,0,0,0,0,0,0
80,7,180,-100,80,-100,0,0,0,0,0,0,0,1
80,8,100,-120,-100,-120,0,0,0,0,0,0,0,1
80,9,200,-160,-120,-160,0,0,0,0,1,0,0,0
80,10,200,-220,-320,200,1,0,0,0,0,0,0,0
80,11,160,-100,400,-100,0,0,0,0,1,0,0,0
80,12,200,-180,60,-180,0,0,0,0,0,1,0,0
80,13,200,-100,-180,200,1,0,0,0,0,0,0,0
80,14,140,-100,400,140,0,1,0,0,0,0,0,0
80,15,200,-140,140,200,1,0,0,0,0,0,0,0
80,16,80,-100,60,-100,0,0,0,0,0,0,0,1
80,17,100,-100,-100,-100,0,0,0,0,1,0,0,0
80,18,200,-200,-200,200,0,1,0,0,0,0,0,0
80,19,160,-140,200,-140,0,0,0,0,0,0,0,1
80,20,120,-100,-140,120,1,0,0,0,0,0,0,0
80,21,180,-200,20,180,0,1,0,0,0,0,0,0
80,22,200,-120,180,200,1,0,0,0,0,0,0,0
80,23,180,-100,80,-100,0,0,0,0,0,0,1,0
80,24,100,-120,80,-120,0,0,0,0,0,0,0,1
80,25,200,-160,-120,-160,0,0,0,0,1,0,0,0
80,26,200,-220,-320,200,0,0,0,1,0,0,0,0
80,27,160,-100,200,-100,0,0,0,0,0,1,0,0
80,28,200,-180,60,-180,0,0,0,0,0,0,1,0
80,29,200,-100,-180,200,1,0,0,0,0,0,0,0
80,30,140,-100,400,140,1,0,0,0,0,0,0,0
80,31,200,-140,40,200,1,0,0,0,0,0,0,0
80,32,80,-100,60,-100,0,0,0,0,0,0,0,1
80,33,100,-100,-100,-100,0,0,0,0,1,0,0,0
81,1,200,-100,0,-100,0,0,0,0,0,0,1,0
81,2,200,-200,-100,200,1,0,0,0,0,0,0,0
81,3,160,-140,400,-140,0,0,0,0,0,0,1,0
81,4,120,-100,-140,120,1,0,0,0,0,0,0,0
81,5,180,-200,20,180,1,0,0,0,0,0,0,0
81,6,200,-120,360,200,1,0,0,0,0,0,0,0
81,7,180,-100,80,-100,0,0,0,0,1,0,0,0
81,8,100,-120,80,-120,0,0,0,0,1,0,0,0
81,9,200,-160,-240,-160,0,0,0,0,1,0,0,0
81,10,200,-220,-320,200,0,1,0,0,0,0,0,0
81,11,160,-100,400,-100,0,0,0,0,1,0,0,0
81,12,200,-180,60,-180,0,0,0,0,0,0,0,1
81,13,200,-100,-180,200,1,0,0,0,0,0,0,0
81,14,140,-100,400,140,1,0,0,0,0,0,0,0
81,15,200,-140,40,200,1,0,0,0,0,0,0,0
81,16,80,-100,60,-100,0,0,0,0,1,0,0,0
81,17,100,-100,-200,-100,0,0,0,0,0,0,0,1
81,18,200,-200,-100,200,1,0,0,0,0,0,0,0
81,19,160,-140,400,-140,0,0,0,0,1,0,0,0
81,20,120,-100,20,120,1,0,0,0,0,0,0,0
